Timestamp,What type of smartphone you use?,What type of bank accounts and services you currently engage with? Select all that applies.,How many Mobile Banking Apps currently setup in your smartphone?,How long have you been using Mobile Banking Apps in your smartphone? (Answer in years),"On average, how often do you use Mobile Banking Apps in your smartphone?",What are the tasks that you do using Mobile Banking Apps setup in your smartphone?,What are the types of bills you pay with your Mobile Banking Apps? Select all that applies.,What tasks you do with your Mobile Banking Apps related to credit cards? Select all that applies.,What tasks you do with your Mobile Banking Apps related to fixed deposits? Select all that applies.,What is your experience on the extent of the ease of use of Mobile Banking Apps?,How do you feel about the security of using Mobile Banking Apps?,How satisfied are you with your overall usage of Mobile Banking Apps?,How likely is to recommend the usage of Mobile Banking Apps to your friends and colleagues?,Gender,Age (in years),Closest city,Current Job,"How long have you been working? (including the time for previous jobs, if any). Answer in years.",Education up to ?,Which of the following social media sites that you visit most?,"On average how, much time do you spend on social media daily?"
09/11/2020 21:31:46,Android,"Savings accounts, Fixed Deposits",2,4,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,"To view my existing fixed deposits, To open new fixed deposits, To settle matured fixed deposits",4,4,4,5,Male,29,Ratnapura,Research Assistant,4,Bachelor’s Degree,"Facebook, YouTube, Instagram, Whatsapp",1 hour
09/11/2020 21:53:44,Android,Savings accounts,2,2.5,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Mobile/Telephone bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,5,4,4,Male,29,Horana,Software Engineer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",2 hours
09/11/2020 21:54:57,Android,"Savings accounts, Credit Cards",4,5,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,5,4,Female,28,Embilipitiya,Software Engineer,3,Bachelor’s Degree,Facebook,Less than 1 hour
09/11/2020 22:19:33,Apple,"Savings accounts, Credit Cards",2,2,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Mobile/Telephone bills,To settle my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,5,5,Female,27,Kaluthara ,Research Assistant ,2,Master’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp, Viber",3 hours
09/11/2020 22:44:30,Android,"Savings accounts, Credit Cards",3,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",To settle my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,4,Male,28,Rathnapura,T. O,1,After A/L Diploma,"Facebook, YouTube, Whatsapp",1 hour
09/11/2020 23:18:29,Android,"Savings accounts, Credit Cards, Loans",4,4,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,4,4,5,Male,29,Colombo,Software Engineer ,3.5,Bachelor’s Degree,Facebook,2 hours
09/11/2020 23:20:40,Android,"Savings accounts, Fixed Deposits",1,1,Hardly,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,2,Male,30,Polgasowita,Software Engineer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",4 hours or more
10/11/2020 12:18:15,Android,"Savings accounts, Credit Cards",1,1,Several Times a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Mobile/Telephone bills,"To check my credit card balance, To settle my credit card balance",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Female,28,Ratnapura ,Lecturer,3,Bachelor’s Degree,"Facebook, YouTube, Instagram, Whatsapp",4 hours or more
10/11/2020 12:48:17,Android,"Savings accounts, Fixed Deposits",1,1,Hardly,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,2,Male,30,Polgasowita,Software Engineer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",4 hours or more
12/11/2020 21:13:02,Android,Savings accounts,1,0,Hardly,"Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Internet bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,3,3,3,Male,28,Ratnapura,Instructor (University),3,Bachelor’s Degree,Instagram,2 hours
